id,mobile_carrier_id,device_name,user_agent,width,height
1,1,SH706iw,DoCoMo/2.0 SH706iw%,480,854
2,1,N706iⅡ,DoCoMo/2.0 N706iⅡ%,240,427
3,1,SH706ie,DoCoMo/2.0 SH706ie%,240,400
4,1,N706ie,DoCoMo/2.0 N706ie%,240,427
5,1,P706ie,DoCoMo/2.0 P706ie%,240,427
6,1,L706ie,DoCoMo/2.0 L706ie%,240,320
7,1,P706imyu,DoCoMo/2.0 P706imyu%,240,427
8,1,SH706i,DoCoMo/2.0 SH706i%,480,854
9,1,SO706i,DoCoMo/2.0 SO706i%,240,427
10,1,N706i,DoCoMo/2.0 N706i%,240,427
11,1,F706i,DoCoMo/2.0 F706i%,240,432
12,1,SH906iTV,DoCoMo/2.0 SH906iTV%,480,854
13,1,N906iL,DoCoMo/2.0 N906iL%,480,854
14,1,N906i,DoCoMo/2.0 N906i%,480,854
15,1,F906i,DoCoMo/2.0 F906i%,480,854
16,1,N906imyu,DoCoMo/2.0 N906imyu%,480,854
17,1,SH906i,DoCoMo/2.0 SH906i%,480,854
18,1,SO906i,DoCoMo/2.0 SO906i%,480,854
19,1,P906i,DoCoMo/2.0 P906i%,480,854
20,1,L852i(PRADA Phone by LG),DoCoMo/2.0 L852i%,240,400
21,1,F884iES(らくらくホンV),DoCoMo/2.0 F884iES%,240,352
22,1,F884i (らくらくホンプレミアム),DoCoMo/2.0 F884i%,240,432
23,1,SH705iⅡ,DoCoMo/2.0 SH705iⅡ%,240,400
24,1,P705iCL (PROSOLID myu),DoCoMo/2.0 P705iCL%,240,427
25,1,L705iX,DoCoMo/2.0 L705X%,240,320
26,1,SO705i,DoCoMo/2.0 SO705i%,240,427
27,1,P705imyu,DoCoMo/2.0 P705imyu%,240,427
28,1,N705imyu,DoCoMo/2.0 N705imyu%,240,427
29,1,SH705i,DoCoMo/2.0 SH705i%,240,400
30,1,L705i,DoCoMo/2.0 L705i%,240,320
31,1,N705i,DoCoMo/2.0 N705i%,240,427
32,1,D705imyu,DoCoMo/2.0 D705imyu%,240,320
33,1,D705i,DoCoMo/2.0 D705i%,240,400
34,1,P705i,DoCoMo/2.0 P705i%,240,427
35,1,F705i,DoCoMo/2.0 F705i%,240,432
36,1,F801i,DoCoMo/2.0 F801i%,240,432
37,1,P905iTV,DoCoMo/2.0 P905iTV%,480,854
38,1,F905iBiz,DoCoMo/2.0 F905iBiz%,480,854
39,1,SO905iCS,DoCoMo/2.0 SO905iCS%,480,854
40,1,SH905iTV,DoCoMo/2.0 SH905iTV%,480,854
41,1,N905iBiz,DoCoMo/2.0 N905iBiz%,480,854
42,1,N905imyu,DoCoMo/2.0 N905imyu%,480,854
43,1,SO905i,DoCoMo/2.0 SO905i%,480,854
44,1,F905i,DoCoMo/2.0 F905i%,480,854
45,1,P905i,DoCoMo/2.0 P905i%,480,854
46,1,N905i,DoCoMo/2.0 N905i%,480,854
47,1,D905i,DoCoMo/2.0 D905i%,480,854
48,1,SH905i,DoCoMo/2.0 SH905i%,480,854
49,1,L704i,DoCoMo/2.0 L704i%,240,320
50,1,P704i,DoCoMo/2.0 P704i%,240,320
51,1,D704i,DoCoMo/2.0 D704i%,240,320
52,1,SH704i,DoCoMo/2.0 SH704k%,240,320
53,1,P704imyu,DoCoMo/2.0 P704imyu%,240,320
54,1,N704imyu,DoCoMo/2.0 N704imyu%,240,345
55,1,F704i,DoCoMo/2.0 F704i%,240,320
56,1,SO704i,DoCoMo/2.0 SO704i%,240,432
57,1,P904i,DoCoMo/2.0 P904i%,240,400
58,1,D904i,DoCoMo/2.0 D904i%,240,400
59,1,F904i,DoCoMo/2.0 F904i%,240,432
60,1,N904i,DoCoMo/2.0 N904i%,480,854
61,1,SH904i,DoCoMo/2.0 SH904i%,240,400
62,1,F883iS(らくらくホン ベーシックS),DoCoMo/2.0 F883iS%,240,320
63,1,F883iESS(らくらくホンIVS),DoCoMo/2.0 F883iESS%,240,320
64,1,F883iES(らくらくホンIV),DoCoMo/2.0 F883iES%,240,320
65,1,F883i(らくらくホン ベーシック),DoCoMo/2.0 F883i%,240,320
66,1,SO703i,DoCoMo/2.0 SO703i%,240,432
67,1,N703imyu,DoCoMo/2.0 N703imyu%,240,345
68,1,P703imyu,DoCoMo/2.0 P703imyu%,240,320
69,1,SH703i,DoCoMo/2.0 SH703i%,240,320
70,1,D703i,DoCoMo/2.0 D703i%,240,320
71,1,P703i,DoCoMo/2.0 P703i%,240,320
72,1,F703i,DoCoMo/2.0 F703i%,240,320
73,1,N703iD,DoCoMo/2.0 N703iD%,240,345
74,1,N601i(SIMPURE N1),DoCoMo/2.0 N601i%,240,345
75,1,SO903iTV,DoCoMo/2.0 SO903iTV%,240,432
76,1,P903iX(P903iX HIGH-SPEED),DoCoMo/2.0 P903iX%,240,320
77,1,F903iBSC,DoCoMo/2.0 F903BSC%,240,320
78,1,SH903iTV,DoCoMo/2.0 SH903iTV%,240,400
79,1,P903iTV,DoCoMo/2.0 P903iTV%,240,400
80,1,F903iX (F903iX HIGH-SPEED),DoCoMo/2.0 F903iX%,240,320
81,1,D903iTV,DoCoMo/2.0 D903iTV%,230,320
82,1,SO903i,DoCoMo/2.0 SO903i%,240,368
83,1,F903i,DoCoMo/2.0 F903i%,240,400
84,1,D903i,DoCoMo/2.0 D903i%,240,400
85,1,N903i,DoCoMo/2.0 N903i%,480,690
86,1,P903i,DoCoMo/2.0 P903i%,240,320
87,1,SH903i,DoCoMo/2.0 SH903i%,240,400
88,1,F882iES(FOMAらくらくホンⅢ),DoCoMo/2.0 F882iES%,240,320
89,1,D800iDS,DoCoMo/2.0 D800iDS%,240,320
90,1,D702iF,DoCoMo/2.0 D702iF%,240,320
91,1,P702iD,DoCoMo/2.0 P702iD%,240,320
92,1,N702iS,DoCoMo/2.0 N702iS%,240,320
93,1,SH702iS,DoCoMo/2.0 SH702iS%,240,320
94,1,SA702i,DoCoMo/2.0 SA702i%,240,320
95,1,D702iBCL,DoCoMo/2.0 D702iBCL%,240,320
96,1,SO702i,DoCoMo/2.0 SO702i%,240,320
97,1,D702i,DoCoMo/2.0 D702i%,240,320
98,1,SH702iD,DoCoMo/2.0 SH702iD%,240,320
99,1,F702iD,DoCoMo/2.0 F702iD%,240,320
100,1,N702iD,DoCoMo/2.0 N702iD%,240,320
101,1,P702i,DoCoMo/2.0 P702i%,240,320
102,1,N902iL,DoCoMo/2.0 N902iL%,240,320
103,1,N902iX(N902iX HIGH-SPEED),DoCoMo/2.0 N902iX%,240,320
104,1,SH902iSL (DOLCE SL),DoCoMo/2.0 SH902iSL%,240,320
105,1,SO902iWP,DoCoMo/2.0 SO902iWP%,240,320
106,1,F902iS,DoCoMo/2.0 F902iS%,240,320
107,1,D902iS,DoCoMo/2.0 D902iS%,240,400
108,1,N902iS,DoCoMo/2.0 N902iS%,240,320
109,1,P902iS,DoCoMo/2.0 P902iS%,240,320
110,1,SH902iS,DoCoMo/2.0 SH902iS%,240,320
111,1,SO902i,DoCoMo/2.0 SO902i%,240,320
112,1,SH902i,DoCoMo/2.0 SH902i%,240,320
113,1,P902i,DoCoMo/2.0 P902i%,240,320
114,1,N902i,DoCoMo/2.0 N902i%,240,320
115,1,D902i,DoCoMo/2.0 D902i%,240,400
116,1,F902i,DoCoMo/2.0 F902i%,240,320
117,1,D851iWM (Music Porter X),DoCoMo/2.0 D851iWM%,240,400
118,1,P901iTV,DoCoMo/2.0 P901iTV%,240,320
119,1,N901iS,DoCoMo/2.0 N901iS%,240,320
120,1,P901iS,DoCoMo/2.0 P901iS%,240,320
121,1,D901iS,DoCoMo/2.0 D901iS%,240,320
122,1,F901iS,DoCoMo/2.0 F901iS%,240,320
123,1,SH901iS,DoCoMo/2.0 SH901iS%,240,320
124,1,P901i,DoCoMo/2.0 P901i%,240,320
125,1,D901i,DoCoMo/2.0 D901i%,240,320
126,1,N901iC,DoCoMo/2.0 N901iC%,240,320
127,1,F901iC,DoCoMo/2.0 F901iC%,240,320
128,1,SH901iC,DoCoMo/2.0 SH901iC%,240,320
129,1,N900iG,DoCoMo/2.0 N900iG%,240,269
130,1,N900iL,DoCoMo/2.0 N900iL%,240,269
131,1,F900iC,DoCoMo/2.0 F900iC%,240,320
132,1,D900i,DoCoMo/2.0 D900i%,240,320
133,1,N900iS,DoCoMo/2.0 N900iS%,240,269
134,1,P900iV,DoCoMo/2.0 P900iV%,240,266
135,1,F900iT,DoCoMo/2.0 F900iT%,240,320
136,1,SH900i,DoCoMo/2.0 SH900i%,240,320
137,1,P900i,DoCoMo/2.0 P900i%,240,266
138,1,N900i,DoCoMo/2.0 N900i%,240,269
139,1,F900i,DoCoMo/2.0 F900i%,240,320
140,2,URBANO,KDDI-SH36%,240,400
141,2,W62PT,KDDI-PT34%,240,320
142,2,W64SA,KDDI-SA3E%,480,800
143,2,W62CA,KDDI-CA3B%,240,400
144,2,W62H,KDDI-HI3D%,240,400
145,2,W62SH,KDDI-SH35%,480,800
146,2,re,KDDI-SN3F%,240,400
147,2,W63K,KDDI-KC3H%,240,400
148,2,Sportio,KDDI-TS3K%,240,320
149,2,W62T,KDDI-TS3J%,240,400
150,2,W63SA,KDDI-SA3D%,480,800
151,2,W62K,KDDI-KC3G%,240,320
152,2,W61S,KDDI-SN3D%,480,800
153,2,W61SA,KDDI-SA3C%,240,432
154,2,W62S,KDDI-SN3E%,240,432
155,2,W61T,KDDI-TS3I%,240,400
156,2,W61H,KDDI-HI3C%,240,400
157,2,W62SA,KDDI-ST34%,240,400
158,2,W61PT,KDDI-PT33%,240,320
159,2,W61P,KDDI-MA33%,240,400
160,2,W61CA,KDDI-CA3A%,240,400
161,2,W61K,KDDI-KC3D%,240,400
162,2,W54SA,KDDI-SA3B%,480,800
163,2,W61SH,KDDI-SH34%,240,400
164,2,W54S,KDDI-SN3C%,240,400
165,2,W56T,KDDI-TS3H%,240,400
166,2,W55T,KDDI-TS3G%,240,320
167,2,W53H,KDDI-HI3B%,240,400
168,2,W53K/W64K,KDDI-KC3B%,240,400
169,2,INFOBAR 2,KDDI-ST33%,240,400
170,2,W44K IIカメラなしモデル,KDDI-KC3E%,240,320
171,2,W53S,KDDI-SN3B%,240,432
172,2,W53CA,KDDI-CA39%,480,800
173,2,W53SA,KDDI-ST32%,240,400
174,2,W54T,KDDI-TS3E%,480,800
175,2,W52SH,KDDI-SH33%,240,400
176,2,W52CA,KDDI-CA38%,240,400
177,2,W52P,KDDI-MA32%,240,400
178,2,W52S,KDDI-SN3A%,240,432
179,2,W53T,KDDI-TS3D%,240,400
180,2,W52SA,KDDI-SA3A%,240,400
181,2,W52H,KDDI-HI3A%,240,400
182,2,MEDIA SKIN,KDDI-KC3A%,240,320
183,2,W51SH,KDDI-SH32%,240,400
184,2,W51S,KDDI-SN39%,240,432
185,2,W52T,KDDI-TS3C%,480,800
186,2,W51T,KDDI-TS3B%,240,320
187,2,W51SA,KDDI-SA39%,240,320
188,2,W51H,KDDI-HI39%,240,400
189,2,W51CA,KDDI-CA37%,240,400
190,2,W51P,KDDI-MA31%,240,400
191,2,W51K,KDDI-KC39%,240,400
192,2,DRAPE,KDDI-TS39%,240,320
193,2,W47T,KDDI-TS3A%,240,320
194,2,W44S,KDDI-SN38%,240,432
